asset,category,observations,coverage_pct,window_gaps,min_price_first,min_price_last,min_price_low,min_price_high,min_price_abs_change,min_price_pct_change,min_price_transitions,min_price_pct_adjacent_changed,min_price_distinct_states,median_price_first,median_price_last,median_price_pct_change,median_price_transitions,quantity_first,quantity_last,quantity_low,quantity_high,quantity_abs_change,quantity_pct_change,quantity_transitions,quantity_pct_adjacent_changed,quantity_distinct_states,sales_24h_first,sales_24h_last,sales_24h_min,sales_24h_max,sales_24h_abs_change,sales_24h_transitions,sales_24h_distinct_states,history_state_transitions,history_state_distinct,distinct_market_states,realized_vol_daily_pct,observed_range_pct,position_in_range_pct,contraction_frequency_pct,expansion_frequency_pct,listing_volatility_5m,price_return_1h,price_return_6h,price_return_24h,price_return_period,listing_change_1h,listing_change_6h,listing_change_24h,listing_change_period,freshness_median_s,freshness_p95_s,freshness_max_s,freshness_over_10m
Sticker | Titan (Holo) | Cologne 2014,capsules/stickers,2015,99.9504,1,174.57,155.12,155.12,174.57,-19.44999999999999,-11.141662370395824,10,0.49677098857426727,11,329.59,227.06,-31.1083467338208,6,17,20,17,20,3,17.647058823529413,1,0.04967709885742673,2,0,0,0,0,0,0,1,6,7,25,3.4365525734252658,12.538679731820519,0.0,0.0,0.04967709885742673,0.0039332399884587635,0.0,0.0,-0.0006442468754026542,-0.11141662370395822,0,0,0,3,302.99,311.8159,904.672,14
Sticker | Titan | Cluj-Napoca 2015,capsules/stickers,2015,99.9504,1,67.65,58.37,58.37,67.65,-9.280000000000008,-13.717664449371776,5,0.24838549428713363,6,78.77,78.12,-0.8251872540307116,4,69,71,69,71,2,2.898550724637681,1,0.04967709885742673,2,1,0,0,1,-1,1,2,8,9,18,5.269459873387858,15.898578036662684,0.0,0.0,0.04967709885742673,0.000646039418394193,0.0,0.0,-0.0006848142441362448,-0.1371766444937178,0,0,0,2,302.99,311.8159,904.672,14
Sticker | Virtus.pro | Katowice 2015,capsules/stickers,2015,99.9504,1,16.63,16.67,16.57,16.79,0.0400000000000027,0.2405291641611708,9,0.44709388971684055,8,46.59,46.5,-0.19317450096587982,8,18,16,16,18,-2,-11.11111111111111,4,0.19870839542970692,3,0,0,0,1,0,4,2,11,12,20,0.8877804650843193,1.327700663850325,45.454545454546334,0.14903129657228018,0.04967709885742673,0.0025503987288077036,0.0,0.0,-0.0005995203836929308,0.00240529164161174,0,0,0,-2,302.99,311.8159,904.672,14
Sticker | Winding Scorch (Foil),capsules/stickers,2015,99.9504,1,1.64,1.84,1.29,1.85,0.20000000000000018,12.195121951219523,28,1.3909587680079483,18,5.41,5.43,0.36968576709795886,6,1891,1799,1799,1891,-92,-4.865150713907985,41,2.0367610531544957,33,15,14,2,32,-1,7,8,11,12,54,16.824365818435023,43.4108527131783,98.21428571428572,1.6890213611525087,0.34773969200198707,0.0003322443320993642,0.0,0.0,-0.005405405405405461,0.12195121951219523,0,0,0,-92,302.99,311.8159,904.672,14
Sticker | iBUYPOWER (Holo) | Cologne 2014,capsules/stickers,2015,99.9504,1,276.11,274.54,274.42,276.11,-1.5699999999999932,-0.5686139582050607,11,0.546448087431694,12,423.75,420.25,-0.8259587020648967,5,17,17,17,17,0,0.0,0,0.0,1,0,0,0,0,0,0,1,5,6,19,0.21595415650464267,0.6158443262152896,7.10059171597661,0.0,0.0,0.0,0.0,0.0,-0.0017453276125370953,-0.005686139582050553,0,0,0,0,302.99,311.8159,904.672,14
Sticker | iBUYPOWER | Cologne 2014,capsules/stickers,2015,99.9504,1,87.41,93.39,87.41,98.68,5.980000000000004,6.841322503146099,11,0.546448087431694,12,135.37,137.17,1.3296890005170887,8,33,28,28,33,-5,-15.151515151515152,5,0.24838549428713363,6,0,0,0,3,0,3,3,11,12,18,3.353348408752551,12.893261640544571,53.06122448979591,0.24838549428713363,0.0,0.001611127635665711,0.0,0.0,-0.0006420545746388395,0.06841322503146108,0,0,0,-5,302.99,311.8159,904.672,14
Stockholm 2021 Challengers Sticker Capsule,capsules/stickers,2015,99.9504,1,1.75,1.69,1.63,1.77,-0.06000000000000005,-3.4285714285714315,10,0.49677098857426727,10,4.84,4.2,-13.223140495867764,12,2806,2980,2806,3008,174,6.2009978617248755,24,1.1922503725782414,22,23,1,0,42,-22,7,7,11,12,43,4.047067438122998,8.588957055214733,42.857142857142854,0.6954793840039741,0.49677098857426727,0.0011623120253793852,0.0,0.005952380952380931,0.005952380952380931,-0.034285714285714364,0,-17,-28,174,302.99,311.8159,904.672,14
Stockholm 2021 Legends Sticker Capsule,capsules/stickers,2015,99.9504,1,0.87,0.96,0.75,0.96,0.08999999999999997,10.344827586206893,12,0.5961251862891207,8,5.01,4.94,-1.3972055888223434,7,9372,9457,9372,9545,85,0.9069568928723858,29,1.4406358668653751,22,4,0,0,90,-4,6,6,10,11,40,8.61648469244252,27.999999999999996,100.0,0.8445106805762543,0.5961251862891207,0.00032438841090393154,0.0,0.0,0.05494505494505497,0.10344827586206895,1,1,-19,85,302.99,311.8159,904.672,14
USP-S | Printstream (Field-Tested),weapons,2015,99.9504,1,38.69,38.28,34.45,41.27,-0.4099999999999966,-1.0597053502196863,116,5.762543467461501,66,45.79,45.66,-0.28390478270365266,93,284,251,247,284,-33,-11.619718309859154,186,9.23994038748137,37,14,19,12,22,5,7,7,12,13,249,18.087521544480865,19.796806966618284,56.15835777126097,5.663189269746646,3.5767511177347244,0.0014091228818693341,0.003933910306844979,0.024625267665952855,-0.0015649452269170805,-0.010597053502196863,-1,-7,-7,-33,302.99,311.8159,904.672,14
Winter Offensive Weapon Case,cases,2015,99.9504,1,9.62,9.18,8.73,9.65,-0.4399999999999995,-4.573804573804569,14,0.6954793840039741,12,12.91,12.85,-0.4647560030983772,6,893,906,892,906,13,1.4557670772676372,12,0.5961251862891207,11,2,2,0,3,0,6,4,12,13,36,5.590622966442112,10.538373424971363,48.913043478260796,0.19870839542970692,0.39741679085941384,0.000271518906579985,0.0,0.0,-0.0010881392818280489,-0.04573804573804574,0,0,0,13,302.99,311.8159,904.672,14
